plate,review_reason_code,customer_meaning,reviewer_comments,status
GASSSUC,3,GAS POLLUTES THE ENVIRONMENT,SUCKS?,N
LONG RYD,1,"THERE MUST BE A SPACE BETWEEN G & R MEANS FOR ENDURANCE. LONG RIDE""",LONG RIDE LIKE SEXUAL?,N
MCLMF,3,MOTOR CYCLE LOVERS MY FRIENDS,MF-MOTHER FUCKER,N
MR9R831,7,IT STANDS FOR MY TEAN SF 49ERS AND MY LOCAL AREA CODE,831 SOLEDAD AREA CODE,N
R HMFIC,3,OUR HOME FINANCE COMPANY,HMFIC-HEAD MOTHER FUCKER IN CHARGE,N
TT TUES,1,AUDI TT TUESDAY,TT-IS PENIS IN TAGALOG. NO AUDI OR TWIN TURBO ON RECORD,N
WOOPIGG,5,UNIVERSITY OF ARKANSAS FAN. WOO PIG SOUIEEEEE,PIGS CAN BE A SLUR TOWARDS POLICE,N
AIMN 4U,2,AUTO INSURANCE MAN,AIMING FOR YOU. WITH A GUN? WITH THE VEHICLE?,N
ANGEL G,7,NAME,G-GANGSTER,N
A996POS,3,PORSCHE 996 IS THE MODEL OF THE CAR,996 PORSCHE. CUSTOMER HAS A PORSCHE. ABBREV WITH POS OR MEANING PIECE OF SHIT.,N
BELEN 13,2,MOTHERS FIRST NAME. 13 BROTHERS AND SISTERS,13-GANG,N
BRUCE 13,2,"MY CARS NAME IS BRUCE, AFTER BRUCE WAYNE FROM BATMAN. 13 IS MY LUCKER NUMBER AND BIRTHDAY",13-GANG,N
DFTACOS,1,CITY I'M FROM TACOS,TACOS,N
FYR13FC,2,FIRE 13 FIRE CAPTAIN,13-GANG,N
GARY8IT,1,MY NAME AND I ATE IT. I LIKE TO EAT,"SEXUAL? HE FELL AND ""ATE IT""?",N
JAY OFF,1,"MY NICKNAME IS JAY AND I JOKINGLY BRAND ALL OF MY STUFF AS ""JAY OFFICIAL"" THIS IS ABBREVIATED",JACK OFF?,N
MP S13,2,MY NAMES INITIALS AND CARS INITIALS OF YEAR MODEL,13-GANG,N
MY TACO1,1,MY TACOMA 1,TACO. CUSTOMER HAS A TOYOTA,N
OGPEREZ,7,LAST NAME,OG,N
RAMS 213,2,NO MICRO,LA AREA CODE,N
RTCHL14,2,NO MICRO,14-HITLER,N
SOBER AF,3,NO MICRO,AS FUCK,N
1HO TELS,3,BROKER FOR HOTELS,ONE HOE TELLS? NUMBER ONE IN HOTELS,N
4BGTUNA,1,NO MICRO,TUNA,N
415TYME,2,WORKING SAN FRANCISCO,CUSTOMERS AREA CODE,N
8O5CUNT,2,THE AREA CODE OF THE COUNTY I LIVE IN AND MY NICKNAME,AREA CODE AND CUNT,N
BAD13,2,NO MICRO,13-GANG,N
COLT 15,2,NO MICRO,GUN,N
LJAY69,1,NICKNAME AND BIRTH YEAR,NO 1969 VERIFIED,N
CMZONE,1,MY NICKNAME,CUM ZONE? CUSTOMER'S NAME IS CHRISTINE MALZONE,N
1F BOMB,3,THIS IS OUR FIRST JAGUAR AND IT IS A TYPE F MODEL AND IT IS THE BOMB TO DRIVE,FUCK,N
18HANDS,2,THE HEIGHT OF MY HORSE,18-HITLER,N
69 HLCAT,1,1969 DODGE CHARGER WITH 2015 HELLCAT ENGINE,NO 1969 VERIFIED,N
8BBB 88,2,NO MICRO,88-HITLER,N
JANET88,2,LUCKY NUMBER,88-HITLER,N
BDAZSRT,3,INITIALS,BADASS,N
BG BLKHO,1,PLATE IS ON A 2001 CHEVY TAHOE ALL BLACK 24INCH RIMS ALL CUSTOM.,BIG BLACK HOE,N
BIG TACO,1,FOR A TOYOTA TACOMA TRUCK OF TEN REFERRED TO AS A TACO. A BIG TACOMA,TACO-VAGINA,N
BITE HRD,1,"I TRAIN DOGS IN POLICE WORK, THIS MEANS ""BITE HARD""",SEXUAL?,N
BLAZEUS,D,BLAZERS IS THE NAME OF MY CHEVY BLAZER,BLAZE-WEED?,N
BLOWN G,7,SUPERCHARGED,G,N
BOBONIT,1,BOB ON GAS PEDAL,BOB ON IT. BOBBIN IT. CUSTOMERS NAME IS RICHARD. COULD ALSO MEAN A BLOW JOB,N
BONGZKE,D,MY ALIAS. MEANS SMALL BOY,BONG,N
CAN WE69,1,CAN WE RIDE IN MY 1969 CHEVELLE,SEXUAL,N
CB13,7,NO MICRO,13-GANG,N
D MOBSTA,7,"ONLINE ID OF GAMING CONSOLE PLAYSTATION NETWORK ACCOUNT ""DAVIDTHEMOBSTA""",MOBSTER,N
DR TACO,1,MY WIFE IS A DR AND I OWN A TACO RESTAURANT,TACO-VAGINA,N
EHT88,2,NO MICRO,88-HITLER,N
FKN SLO,3,THE WAY LIFE SHOULD BE LIVEN AND DRIVEN,FUCKIN SLOW,N
GLDMNKY,1,TALES OF THE GOLD MONKEY TELEVISION SHOW,MONKEY. SEXUAL?,N
GMONEY9,7,COMPANY NAME,G. CUSTOMERS NAME IS GISELLE,N
G TIMES,7,GOOD TIMES,G,N
HIPPE69,1,I WENT TO WOODSTOCK AND AM A HIPPIE,69,N
IEMPG88,2,MY MANE,88-HITLER,N
JCCD51O,7,J-APANESE C-USTOM C-LASSIC D-ATSUN. 510 IS THE MODEL OF THE CAR,CA AREA CODE,Y
KOUP 13,7,KIA FORTE KOUP 2013 MY CAR,13-GANG,N
MEGS DSL,1,MEGANS DIESEL,DEISEL.. DICK SUCKING LIPS? HAS A JEEP REGISTERED,N
NIJJR13,7,LAST NAME,13-GANG. LAST NAME IS SINGH.,N
NOH8ERS,7,NO HATERS,NO HATERS,N
N18 SCQ,2,NOVEMBER 18 BIRTHDATE AND MY INITIALS SCQ,18-HITLER,N
OSWLD13,7,OSWALD IS A DISNEY CHARACTER. 13 IS MY LUCKY NUMBER,13-GANG,N
PCR 13,7,PC IS MY NICKNAME,13-GANG,N
PLM H8Z,7,FACTORY COLOR OF VEHICLE SHORTENED,HATES,N
RH415K,7,INITIALS,CA AREA CODE,N
SUCID69,1,MY 1969 LINCOLN CONTINENTAL HAS SUICIDE DOORS,COULDN'T VERIFY 1969 VEHICLE,N
S13 KAMI,7,NO MICRO,13-GANG,N
TANGAS,1,TOWN IN MEXICO,THONG UNDERWEAR,N
UCLATTY,1,UCLA ATTORNEY,UCLA TITTIE?,N
WEHO2,1,2 OWNERS FROM WEST HOLLYWOOD,HOE,N
WPOD42O,D,WERE PURSUING OUR DESTINY 42O DAYS A YEAR (INSIDE JOKE),420-WEED,N
X415 SFC,7,OLD COLLEGE MAIL STOP NUMBER,CA AREA CODE,N
YH8 UAL,7,WHY HATE YOU ALL,HATE,N
ZABADAS,3,MY GAMERTAG ON XBOX LIVE AND A NICKNAME OF MINE,ZA BAD ASS.. LAST NAME IS ZABALA,N
13 RSVP,7,BIRTHDATE AND DAUGHTERS INITIALS,13-GANG,N
13TC R8O,7,13 SCION TC RELEASE 8.0,13-GANG,Y
4FSAKES,3,"FOR FAMILY SAKES, FAMILY IS EVERYTHING",FOR FUCKS SAKE,N
51O MADE,7,WAS BORN AND RAISED IN AREA CODE THAT WAS 510,CA AREA CODE,N
69 MEME,1,"THIS PLATE GOES ON A 2012 CHEV CAMARO. IT IS STYLED AFTER THE FAMOUS 1969 CAMARO WHICH I OWNED. MEME INDICATES ""SAME"". SO THE 2012 CAMARO IS LIKE THE 1969 CAMARO",69,N
762AK47,2,PERSONAL NUMBER COMBO,AK47,N
818BCHZ,7,818-SAN FERNANDO VALLEY. BCHZ-BEACHES,CA AREA CODE,N
88IROCZ,2,NO MICRO,88-HITLER,N
MR 787,7,787 IS THE ZIPCODE OF MY HOMESTATE,CA AREA CODE,N
DOCGLOC,2,MY WIFE IS A PHYSICIAN-DR GLOCKNER,GLOCK. LAST NAME IS GLOCKNER,N
ZROGVN,3,CAREFREE. NO CARES,ZERO (FUCKS) GIVEN,N
AHOE4ME,1,I HAVE A 2002 CHEVY TAHOE AND MY MAIDEN NAME INITIALS ARE M.E.,A HOE FOR ME,N
ASS ELC,3,COMPANY NAME,ASS,N
ASYCFUC,3,HOSPITAL TERM,A SICK FUCK,N
COOTER5,1,NO MICRO,COOTER-VAGINA?,N
C U HTN,7,NO MICRO,SEE YOU HATING,N
DRHUNTR,2,I'M A DEER HUNTER,LOOKS LIKE DOCTOR HUNTER,N
TUNED 88,2,NO MICRO,88-HITLER,N
ZROPHKS,3,TEAM NAME,ZERO FUCKS,N
AV6TACO,1,,TACO,N
BUBUCAR,2,"IT'S WHAT MY CHILD CALLED THE CAR, BECAUSE IT WAS NOISY (MADE A ""BU-BU"" SOUND)",BOO BOO CAR AS IN POOP OR ANOTHER WORD FOR SHITTY CAR,N
BYE HTRZ,2,BYE HEARTS ITS A FAMILY SAYING,BYE HATERS,N
DEEZNT5,2,BAND,DEEZ NUTS,N
DNGRKAT,1,DANGER CAT,DANGER CAT CAT SLANG FOR VAGINA,N
DS14 LA,2,"MY INITIALS, LUCKY NUMBER AND LA FOR LOS ANGELES",14 GANG REFERENCE,N
FB18,2,,18 HITLER REFERENCE,N
GO BECH,3,GO BEACH,LOKS LIKE GO BITCH,N
HAIR KLR,2,HAIR KILLER. SLANG TERM FOR ELECTROLOGIST OR HAIR REMOVAL,KILLER BUT ALSO MEAN THAT THE PERSON DOES HAIR WELL,N
HO HUM1,1,,HO AS IN WHORE HUM IS A SLANG WORD FOR BLOW JOB,N
HSU FTW,3,"HSU IS MY LAST NAME AND FTW MEANS FROM TAIWAN, WHICH IS MY NATIONALITY",FTW FUCK THE WORLD OR FOR THE WIN,N
H82DB8,2,,HATE TO DEBATE,N
IPA PRN,1,"I AM A MICRO BREWER OF IPA. PRN MEANS ""AS NEEDED""",BEER PORN IPA IS A TYPE OF BEAR PRN LOOOKS LIKE PORN,N
KAT M5,1,,KAT,N
.MAY14,2,THE DAY I WAS BORN.,14 GANG REFERENCE,N
MEOW CAT,1,CAT SAYS MEOW.,MEOW CAT CAT SLANG FOR VAGINA,N
MLK MOVR,1,MILK MOVER,MILK CAN  BE USED AS A SEXUAL TERM OR HE NCOULD JUST BE MOVING OR SHIPPING COWS,Y
MOBCRSH,2,MOBCRUSH (WWW.MOBCRUSH.COM,MOB,N
OG TOY65,2,OLD TOY 1965,OG ORIGINAL GANGSTER,N
POOPTRK,2,ACRANYM FOR POSITIVE OUTLOOK ORIGINAL PERSON TRUCK,POOP TRUCK AS IN SHITTY TRUCK,N
RADROJO,2,RAD MEANS AWESOME - ROJO - RED THE TRUCK IS RED . ITS A EXPENSIVE SHOW TRUCK,ROJO MEAN REDS,Y
RT18M52,2,RETIRED OCSD 18 CALL SIGN MIKE 52,18 HITLER REFERENCE,N
RU13OF3,2,POWER OF THREE IS A WRITING PRINCIPLE THAT SUGGESTS THAT THINGS THAT COME IN THREES,13 GANG REFERENCE,N
TT LUVN,1,TWIN TURBO LOVING,BREAST LOVIN,N
U DOUCHE,2,"MARTIAL ART ""YOU DO CHE""",DOUCHE IS A WOMENS FEMININE WASH,N
USN NUKE,2,,NUCLEAR WEAPON,N
VINY DZ2,2,,DZ AS IN DEEZ NUTS,N
WDDR209,2,CLAMPERS WIFE,209 AREA CODE,N
WELUVPS,1,WE LOVE PALM SPRINGS,LOOKS LIKE WE LOVE PUSSY,N
WEST OG,2,WAKE EXPOSURE SACRAMENTO TERRITORY ORIGINAL,ORIGINAL GANGSTER,N
XHYDRAX,2,HYDRA FROM MARVEL UNIVERSE,HYDRA IS A FICTIONAL TERRORIST ORGANIZATION IN COMIC BOOKS,Y
12FIA13,2,,13 GANG REFERENCE,N
5AD213,2,,213 AREA CODE,N
515O 4LF,2,,CRAZY FOR LIFE,Y
7519 KOC,1,,KOC LOOKS LIKE COCK SEXUAL REFERENCE,N
#SAMBLU,2,MY KIDS,BLU OR HANDSOME BLUE,Y
MY$HMPM,1,MY HUSBAND AND MY SON'S INITIALS.,LOOKS LIKE HUMP OR HEMP,N
8SURF8,2,,88 HITLER REFERNCE,N
LVMY45,2,LOVE MY 45,45 IS A WEAPON A GUN,N
CAT TAX,1,"I WANT A LICENSE PLATE WITH ""CAT"" ON IT, AND I FIGURED A CUSTOM PLATE CAUSES ME TO PAY MORE IN TAXES... SO I AM PAYING THE CAT TAX.",CAT TAX CAT SLANG FOR VAGINA,N
DIRTY B,3,DIRTY BRONCO,LOOKS LIKE DIRTY BITCH,N
FCKABLE,1,,FUCKABLE.. SEXUAL REFERENCE,N
OBOYTOY,1,,BOY TOY SEXUAL REFERENCE,N
ROKRAPR,1,"ROCK AND ROLL RAPPER. DJ THAT MIXES ROCK, RAP AND POP MUSIC.",RAPR LOOKS LIKE RAPE,N
VAGNINO,1,LAST NAME,CUSTOMER NAME IS VAGNINO HOWEVER IT LOOKS LIKE VAGINA,N
2 LOCOPZ,5,,LOOKS LIKE LOCO LOOKS LIKE COPS LOOKS LIKE CRAZY COPS  OR LOCOPEZ CRAZY LOPEZ CUSTOMER LAST NAME IS LOPEZ,N
5TYSHDZ,1,,FIFTY SHADEZ MOVIE,N
707 VINO,2,SONOMA COUNTY WINE,707 AREA CODE,N
BOSS 5OH,7,THIS IS THE NAME OF A MUSTANG ON A TV SHOW IN THE 80'S I USED TO LOVE TO WATCH AS A KID,5 OH. POLICE? HAS A FORD,N
ELARY13,2,MY DAUGHTERS MIDDLE NAME AND YEAR OF BIRTH,13-GANG,N
H8 MALLS,2,REFERS TO SHOPPING MALLS BECAUSE IT'S AN OFFROAD VEHICLE,HATE,N
MEZA 014,2,LAST NAME,14-HITLER,N
MRTNZ13,2,LAST NAME,13-GANG,N
8R4N747,2,NO MICRO,CA AREA CODE,N
FKNMASH,3,NO MICRO,FUCKIN,N
FN HRLY,3,NO MICRO,FUCKIN HARLEY.. FUN HARLEY,N
HOT DAM,3,NO MICRO,HOT DAMN,N
88212,2,NO MICRO,88-HITLER,N
MY 14 C7,2,NO MICRO,14-HITLER,N
SS 88,2,LUCKY GOOD FORTUNE,88-HITLER,N
SYY 1 8,2,MY NAME,18-HITLER,N
31ORIDE,2,LA AREA 310 RIDE MOTORCYLE PLATE,CA AREA CODE,N
BNR ORIG,4,BAHALA NA RYDERS ORIGINAL,"BNR LOOKS LIKE A MOTORCYCLE STREET ""GANG""",N
CALI8O5,2,CALIFORNIA 8O'S,CA AREA CODE,N
CIA LSD,5,NO MICRO,CIA,N
CMILANP,2,NO MICRO,SEE MILAN PEE?,N
FN SYCO,3,I AM A FINANCE MANAGER FOR AN RV DEALER AND CRAZY ABOUT MY JOB,FUCKIN PSYCHO,N
GNZUP31,2,MILITARY MOS,GUNS UP,N
KMFDM69,1,ROCK AND ROLL BAND. SONG FROM BAND.,69. DMFDM IS A BAND,N
K13J7H7,2,MY NAME,13-GANG,N
OK 2 H8,2,PROUD TO OWN MY CAR EVEN IF THERE IS PEOPLE WHO DON’T LIKE IT,HATE,N
PULNASS,1,MY FAVORITE CAR IS THE VERY FAST CORVETTE SS,PULLIN ASS,N
RICH B,3,RICHARD BAUTISTA,"RICH BITCH? ""B"" IS NOT HER INITIAL",N
SDMF 81,2,NO MICRO,SDMF IS MARKED UNACCEPTABLE,N
SUP BIH,3,"SUP MEANS ""WHATS UP"" AND BIH IS A NICKNAME I HAVE FOR MY GIRLFRIEND. IT IS A VARIATION SHORT TERM FOR BABE.",SUP BITCH,N
THUGLIF,2,TITLE OF TUPAC SHAKUR'S ALBUM,THUG,N
YOLOHOE,2,YOU ONLY LIFE ONCE,HOE,N
213PRID,2,LOS ANGELES AREA CODE,CA AREA CODE,N
88WNQ88,2,NO MICRO,88-HITLER,N
OG POLA,2,NO MICRO,OG,N
H8CEMNT,2,JEEP LIKES TRAILS AND DIRT,HATE,N
GLOKLDY,2,NICKNAME TO LOVED ONE WHO PASSED AWAY,GLOCK. GUN,N
HKSS A88,2,HONG KONG SEA SCHOOL NUMBER A88,88-HITLER,N
UCK EEP,2,INITIALS,MISSING LETTERS? FUCK DEEP?,N
1NESS88,2,INFINITE ONENESS,88-HITLER,N
BOB N 69,1,NO MICRO,69. CUSTOMER'S NAME IS BOB,N
DOPE MF,3,SHORT/SLANG FOR COOL MR FLINK,DOPE MOTHER FUCKER,N
FASK8FK,3,FAST SKATE FREEK,TRYING TO SAY FAST AS FUCK?,N
FN KWIK,3,FUN AND QUICK,FUCKIN QUICK,N
FQ OFF,3,FASHION QUEEN OUTFITTED FOR FUTURE,FUCK OFF,N
FWKH8RS,3,FRONT WHEEL CATERERS,FUCK HATERS,N
II 69,1,ILHAM IBRAHIM(II) MY MOTHERS NAME. DATE OF BIRTH 69,69,N
NO BE S,3,NO MICRO,NO BULLSHIT,N
PMPSHHT,3,PETER MACIEL SHHH (BROTHER SPEAKS TOO MUCH),PIMP SHIT,N
PSP FTW,3,PALM SPRINGS FOR THE WIN,FTW,N
SOPHI69,1,"THE NAME OF MY CAR, PLUS THE YEAR I WAS BORN",69,N
URPUS,1,IT DOES NOT REALLY MEAN ANYTHING EXCPET THAT I ALSO OWN A WEB DOMAIN WITH THE SAME NAME,YOUR PUSS?,N
5IVE OH,5,MUSTANG MODEL,50-COULDN’T CONFIRM MUSTANG,N
69 BALI,1,MY PICKUP IS A 1969 CHEVY AND MY DBA CORP IS BALI SHORES POOL PLASTERING.,COULDN'T VERIFY 69 VEHICLE,N
69MC VET,1,NO MICRO,COULDN'T VERIFY 69 VEHICLE,N
69NSECT,1,1969 VOLKSWAGEN BEETLE (BUG). THAT’S WHAT NSECT IS FOR,COULDN'T VERIFY 69 VEHICLE,N
SUAVE 14,2,NO MICRO,14-HITLER,N
ZFKGVN,3,UNIT MOTTO,ZERO FUCKS GIVEN,N
BB88,2,NO MICRO,88-HITLER,N
C U 22 G,2,SEE YOU MY BUDDY,G,N
RAH 1,1,MY GRANDFATHER DROVE A CAR WITH THIS NUMBER PLATE IN SCOTLAND. HAS NO MEANING OTHER THAN PERSONAL,RAWONE IS CURRENTLY OUT. RAW1 IS UNACCEPTABLE,N
1NDAPNK,1,I ONE RIM OF MY BIKE IN PINK,1 IN THE PINK LIKE VAGINA? MC PLATE,N
MEAT 2,1,"MY FAMILY IS IN MEAT PACKING, MEAT IS MY NICKNAME","URBAN SAYS ""MEAT"" IS PENIS 1233 UP 517 DOWN.",N
CUO TOS,1,COOL SAYING SEE YOU ON THE OTHER SIDE,TRYING TO SAY COUTUS? HE IS ORDERING 2 MC PLATES.,N
CYO TOS,1,NEW HARLEY ON THE OTHER SIDE,SEE ABOVE,N
BNGNGRZ,2,BANGING GEARS,"BANG-SEXUAL, NGRZ-NIGGERS?",N
51313OG,7,MY BIRTHDAY,OG-ORIGINAL GANGSTER. OG IS NOT HIS INTIALS,N
1 PSYDR,1,NUMBER ONE PSYCH DOCTOR,#1 PUSSY DR,N
USNA 18,2,UNITED STATES NAVAL ACADEMY CLASS OF 2018,18-HITLER RELATED,N
REDTBOX,1,IM A GOLFER AND THE LADIES T OFF FROM THE RED TEE BOX! CLEVER ISNT IT?!,RED-GANG COLOR. BOX SLANG FOR VAGINA,N
PIPENIT,2,IM A PLUMBER,PIPE LIKE BONG FOR SMOKING MARIJUANA?,N
MDLNMFN,3,MIDDLE NAME FUN,FN-FUN OR FUCKEN?,N
GO8BLUE,2,UNIVERSITY OF MICHIGAN FAN!,BLUE-GANG COLOR,Y
GGBAE,3,MY NICKNAME,BAE IS DANISH FOR POOP,N
BAGNBOX,1,MY JOB IS TO KEEP THE I MACHINES RUNNING TO PUT OUR PRODUCTS INTO BAGS THAT THE END USER GETS,BOX-SLANG FOR VAGINA,N
BLUE X,2,I PURCHASED A TESLA MODEL X THAT IS BLUE. ALSO BLUE SIGNIFIES CLEAN/CLEAR AS THIS CAR IS EMISSION FREE (IT USES BATTERY/ELECTRICITY).,BLUE-GANG COLOR,N
TT TOROK,1,GAMING NICKNAME,TT-IS PENIS IN TAGALOG,N
OH ZONE,1,ITS FOR A CORVETTE AND WHEN YOU'RE IN THE CAR IT MAKE YOU SAY OH!!!!,O LIKE ORGASM?,N
MY#PLUG,1,MY PLUG,HAND PLUG? LIKE BUTT PLUG?,N
8LCKOUT,2,LOCKED OUT- I WORK FOR A LOCKSMITH. PLATE WILL BE USED ON MY DAILY DRIVER TO WORK,"""BLCKOUT"" IS CURRENT BUT BY HIS MEANING HE IS SUBING?",N
714 E82,2,AREA CODE OF RESIDENCE AND MODEL CODE FOR VEHICLE,714 ORANGE AREA CODE,N
69LYME B,1,1969 LIME MGB,NO 69 CAR REGISTERED,N
6OOCH,1,SIX IS MY FAVORITE NUMBER OOCH IS MY NICKNAME.,"""GOOCH"" IS THE AREA BETWEEN THE BALLS N ASS",N
4FN4ORD,3,"FOR FUN, FORD",FN-FUN OR FUCKEN?,N
18E4P,7,IT'S A MILITARY MOS,18-HITLER RELATED,N
WTF WTF,3,WANT TO FLY WANT TO FLY,WHAT THE FUCK,N
TTS OUT,1,MY INITIALS ARE TT AND I'M OUT DRIVING AROUND THE TOWN.,TT-IS PENIS IN TAGALOG. OR TITTIES?,N
SUK BLUD,1,AM A CALIFORNIA STATE LICENSED PHLEBOTOMIST,SUCK?,N
SLXVE 88,2,MY GOVERNMENT NAME,88-HITLER RELATED,N
SK 13,2,MY NAME AND MY LUCKY NUMBER,13-GANG NUMBER. NO 2013 CAR,N
SD TACO,1,SAN DIEGO TACOMA,TACO SLANG FOR VAGINA,N
ROCKET G,2,MY PETS NAME,ROCKET-WEAPON? G-GANGSTA?,N
RJ13 OO7,2,MY BACK TOWN AREA CODE INDIA,13-GANG NUMBER. NO 2013 CAR,N
RIPIMP C,2,REST IN PEACE CHAD BUTLER,PIMP?,N
RACH213,2,MY NAME AND MY TELEPHONE AREA CODE,213 LA AREA CODE,N
PBI3,2,MY BORN CITY ZIP CODE,"GOT DENIED ""PB13"" BACK IN 2015? SO NOW USING A ""I""?",N
OVR W8,2,I'M CALORICALLY CHALLENGED,NOT SAYING WHO?,Y
ORDAGO,2,"""I BET THE GAME"" IN A SPANISH CARD GAME",DAGO? RACIAL SLUR TOWARDS ITALIAN,N
NOTCOPS,5,VEHICLE IS A RETIRED POLICE CAR. PLATE SAYS IT'S NOT THE POLICE,COP?,N
NOTASUB,1,"CAR MANUFACTURER'S SLOGAN IS ""THERE IS NO SUBSTITUTE""",SUBMISSIVE IN BDSM? NO PORSCHE ON RECORD,N
MURKD EM,2,FLAWLESS.,"VIDEO GAME TERM ""GOOD AT KILLING""",N
MOPARAF,3,MOPAR IS A CHRYSLER TERM FOR DODGE PLYMOUTH AND CHRYSLER CARS AND AF IS MY GIRLFRIENDS INITALS,AF-AS FUCK,N
MAS TACO,1,TACOMAS IN RANDOM SEQUENCE,TACO SLANG FOR VAGINA,N
KI2MYSS,3,CAMARO LICENSE PLATE,"""KSMYSS"" IS MARKED UNACCEPTABLE",N
KIKES 64,2,ENRIQUE'S (KIKE'S) 1964,"KIKE IS A RACIAL SLUR TOWARDS JEWISH PEOPLE. HIS NAME IS ENRIQUE ""KIKI"" IS SHORT. ""KIKIS64"" IS TAKEN",N
JEEPH8R,2,THE PLATE IS GOING ON 4 WHEEL DRIVE VEHICLE THAT DOESN'T LIKE JEEPS.,HATE?,N
HUMMRRR,1,NAME OF VEHICLE,HUMMER IS ABJ WHILE HUMMING. NO HUMMER ON RECORD,N
HTROD13,2,HOT ROD #13,13-GANG NUMBER. NO 2013 CAR,N
GSWAGIN,2,NOVELTY,G-GANGSTA?,N
G BULLIT,7,THE MAN WHO GAVE US THIS CAR MADE IT WITH THE INTENSION OF RECERATING THE BULLITT,BULLIT? G-GANGSTA? DOES HAVE A 67 AND 69 FORD,N
FREE RPE,1,DAD CALLED ME THIS,FREE RAPE?,N
EAZY415,2,NICKNAME,415 BAY AREA CODE,N
D4T A55,1,"D4T IS D""FORTY"" WHICH IS THE CHASSIS CODE FOR MY MODEL YEAR. A55 IS THE ENGINE CODE THAT CORRESPONDS TO THE 2.0T ENGINE FOR AUDI",DAT ASS,N
DEGO TOY,2,CAR IS DIEGO'S TOY,"DAGO? RACIAL SLUR TOWARDS ITALIAN. HIS NAME IS ""DIEGO""",N
DASH71O,2,NICKNAME,710 GOOGLE SAYS IS A FEDERAL AREA CODE??,N
DAM WGN,3,MY INITIALS-,DAMN?,N
COOL 69,1,COOL 1969 LEMANS,NO 69 ON RECORD,Y
BLCKTRD,2,BLACK TOYOTA TRD (TOYOTA RACING DEVELOPMENT ),TRD WE PULL,N
CAZANDO,2,OUT HUNTING.,HUNT IN SPANISH?,N
CAOCAO,3,NAME OF A CHINESE GUY,FUCK IN MANDARIN,N
BOLLASS,3,BOLLASS MEANS A HARD HIT,ASS?,N
BJENNIN,1,IT'S BEAUTIFUL/CRAZY,BJ-?,N
BARCBOX,1,BARK = DOG HONDA ELEMENT SHAPE.,BOX-SLANG FOR VAGINA. NO HONDA,N
A NEGRA,2,BOX = HONDA ELEMENT SHAPE,NEGRA-RACIAL?,N
ALS SUX,1,HAVE A DISEASE CALLED ALS. I'M DYING. THERE'S NO CURE. IT SUCKS. I HOPE TO GET A LITTLE BIT OF AWARENESS FOR THIS RARE DISEASE.,SUCKS?,N
AKABLUE,2,MY LAST NAME IS BLUESTONE AND PEOPLE CALL ME BLUE.,BLUE-GANG COLOR. WHAT THEY SAY IS TRUE.,N
BBIG BLK,1,COLOR OF JEEP (JEEPS NAME),BIG BLACK,N
E13URG,2,NO MICRO,13-GANG,N
OG GTO,2,NO MICRO,OG,N
BOLLICS,1,NO MICRO,TESTICLES,N
D G 2 F,3,NO MICRO,DON’T GIVE TWO FUCKS?,N
88LDYM,2,NO MICRO,88-HITLER,N
MT5 18,2,NO MICRO,18-HITLER,N
BA566RT,3,MY FIRST 3 CALL SIGN LETTERS AND RT FOR MY DODGE IS AN RT,BADASS 566 RT,N
BDAZZBZ,3,BAD ASS BOSS,BADASS,N
B747 8,2,THE ABBREVIATION OF THE BOEING 747-8 JET AIRPLANE,CA AREA CODE 747,N
DAT AST,3,"SHORT FOR ""THAT ASTON MARTIN""",DAT ASS? COULDN'T VERIFY ASTON MARTIN,N
HD13SVO,2,"MY MOTORCYCLE, MAKE MODEL AND YEAR",13-GANG. COULDN’T VERIFY MOTORCYCLE,N
OG WAGN,2,IT’S A CLASSIC WAGON,OG,N
SLANGIN,D,#SLANGINREALESTATE IS MY # I USE FOR REAL ESTATE AND MY MOTTO,"SLANGIN, SLINGIN.. SELLING DRUGS",N
WTT 1314,2,NO MICRO,13-GANG AND 14-HITLER,N
W14OMB,2,NO MICRO,14-HITLER,N
SMOBBIN,2,WORKING EFFICIENTLY,MOBBIN,N
1BRNHO3,1,MY TAHOE IS BROWN,HOE,N
1 HMFIC,3,IN MEMORY OF OUR SON,HEAD MOTHER FUCKER IN CHARGE,N
2O6 4LIF,2,"SEATTLE, WA IS MY HOME CITY AND REPRESENT IT FOR LIFE",CA AREA CODE,Y
69DONZI,1,NO MICRO,69,N
88B888,2,NO MICRO,88-HITLER,N
ALY G,2,SHORT FOR ALY GIRL,G,N
BNTOVER,1,CHIROPRACTOR,BENT OVER… SEXUAL?,N
LOVE XXX,1,MY GIRLFRIENDS NAME,LOVE PORN,N
NSTY HOE,1,A POSITIVE SELF DESCRIPTION OF MY LIFE,NASTY HOE,N
GON2FYB,3,GRANDPA AND GRANDMAS INITIALS,GONE TO FUCK YOUR BITCH,N
TS 13,2,NO MICRO,13-GANG,N
ALPHA 13,2,I ALWAYS LIKED THE WORD ALPHA BECAUSE IT MEANS LEADER. 13 IS THE YEAR OF MY CAR.,13 GANG REFERENCE,N
AR223,2,AUTO 223,AR 223 ASSAULT RIFLE,N
AR308,2,AUTO 308,AR 308 ASSAULT RIFLE,N
BANCHOD,1,,MEANS SISTER FUCKER IN HINDI,N
BLZN 65,2,,BLAZING AS IN SMOKING COULD BE A DRUG REFERENCE OR MEANING HOT AS IN NICE OR GOOD,N
BRAPP 73,2,,SOUND THAT A GUN MAKES,N
